47.0650228;15.4518310;copyshop;Copy Shop;Jul-Sep: Mo-Th 08:00-14:00  Fr 08:00-13:00  Oct-Jun: Mo-Th 08:00-17:00  Fr 08:00-15:00;http://deincopyshop.htu.tugraz.at/
47.0334565;15.4171589;bakery;Backhaus;;
47.0755765;15.4347280;beauty;Fingernagelstudio Stylissimo;;
47.0745182;15.4352130;hardware;Knöpfe und Geweihwaren Hirt;Mo-Fr 08:30-18:00  Sa 09:00-12:30;http://www.hirt-austria.at/
47.0676043;15.4415939;hairdresser;BIPA Styling Lounge;Mo-Fr 09:00-19:00  Sa 09:00-18:00;http://www.stylinglounge.at
47.0721737;15.4385965;ice_cream;sax;;
47.0718030;15.4384308;stationery;Schediwy;Mo-Fr 09:00-18:00  Sa 10:00-17:00  Jul-Aug: Sa 10:00-14:00;http://schediwy.at/
47.0667612;15.4333110;music;Musik Hammer;Mo-Fr 09:00-12:30, 13:30-18:00 Sa 09:00-12:00;
47.0724616;15.4396881;bakery;Hofbäckerei Edegger-Tax;Mo-Fr 07:00-18:00 Sa 07:00-12:00 PH off;http://www.hofbaeckerei.at
47.0696451;15.4401534;optician;Wutscher Optik;Mo-Fr 09:00-18:30  Sa 09:00-18:00;http://wutscher-optik.at/
47.0688912;15.4410618;ice_cream;il gelato;;
47.0780750;15.4338687;bicycle;Bicycle;Mo-Fr 07:00-13:00,14:00-18:00;http://www.bicycle.at/
47.0710406;15.4319924;shoes;Baumgartner;;
47.0785526;15.4459275;hairdresser;Schönheitssalon Maria & Maria;Mo-Fr 08:00-18:00  Sa 07:30-13:00;
47.0399218;15.4642088;toys;Gungl;;
47.0402719;15.4638299;laundry;Die Putzerei;Mo-Fr 09:00-19:30  Sa 09:00-18:00  Su,PH off;http://www.murpark.at/de/shops-gastro/die-putzerei
47.0406963;15.4635199;optician;Pearle;;
47.0408797;15.4617126;clothes;H&M;;
47.0410794;15.4612215;shoes;Stiefelkönig;;
47.0401222;15.4644763;sports;Hervis;;
47.0410022;15.4613180;shoes;Humanic;;
47.0403198;15.4638617;florist;Blumen Grollitsch;;
47.0407277;15.4632620;household;WMF;;
47.0406199;15.4626562;hairdresser;DM Frisör;;
47.0407824;15.4630337;confectionery;Hussel;;
47.0411678;15.4621154;mobile_phone;Drei;;
47.0404897;15.4630563;coffee;Eduscho;;
47.0406488;15.4633588;hairdresser;Mayer;;
47.0397712;15.4656028;clothes;New Yorker;;
47.0407518;15.4632018;optician;Wutscher;;
47.0412881;15.4612218;clothes;Kastner & Öhler;;
47.0412148;15.4619794;travel_agency;TUI;;
47.0404171;15.4631870;books;Thalia;Mo-Fr 09:00-19:30  Sa 09:00-18:00  PH off;
47.0407641;15.4619640;clothes;C&A;;
47.0696312;15.4429989;fairtrade;chic ethic Fair-trade-shop;Mo-Fr 10:00-18:00  Sa 10:00-16:00;http://chic-ethic.at
